S.No.,Foreign Ports of lading,US Ports of Unlading,Total TEU,% Total TEU,% overall change in TEU,Jan-24,Dec-23,Nov-23,Oct-23,Sep-23,Aug-23,Jul-23,Jun-23,May-23,Apr-23,Mar-23,Feb-23,Jan-23,Dec-22,Nov-22,Oct-22,Sep-22,Aug-22,Jul-22,Jun-22,May-22,Apr-22,Mar-22,Feb-22,Jan-22,Dec-21,Nov-21,Oct-21,Sep-21,Aug-21,Jul-21,Jun-21,May-21,Apr-21,Mar-21,Feb-21,Jan-21,Dec-20,Nov-20,Oct-20,Sep-20,Aug-20,Jul-20,Jun-20,May-20,Apr-20,Mar-20,Feb-20,Jan-20,Dec-19,Nov-19,Oct-19,Sep-19,Aug-19,Jul-19,Jun-19,May-19,Apr-19,Mar-19,Feb-19,Jan-19,Dec-18,Nov-18,Oct-18,Sep-18,Aug-18,Jul-18,Jun-18,May-18,Apr-18,Mar-18,Feb-18,Jan-18,Dec-17,Nov-17,Oct-17,Sep-17,Aug-17,Jul-17,Jun-17,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16,Nov-16,Oct-16,Sep-16,Aug-16,Jul-16,Jun-16,May-16,Apr-16,Mar-16,Feb-16,Jan-16,Dec-15,Nov-15,Oct-15,Sep-15,Aug-15,Jul-15,Jun-15,May-15,Apr-15,Mar-15,Feb-15,Jan-15,Dec-14,Nov-14,Oct-14,Sep-14,Aug-14,Jul-14,Jun-14,May-14,Apr-14,Mar-14,Feb-14,Jan-14
1,"YANTIAN,CHINA","LOS ANGELES, CALIFORNIA",10309263.38,31.18,-52.84,38127.3,65893.92,90888.93,92975.63,90567.63,113130.86,81005.14,100071.03,100187.21,70455.62,57761.79,44174.85,86467.68,74917.55,64338.8,56303.13,60240.35,89580.4,86554.52,91257.9,76068.8,65406.13,72311.25,75090.97,74018.98,67808.06,67912.32,99049.91,104374.81,61125.03,41330.98,62359.69,105000.42,90567.58,94826.23,82302.7,50972.8,93626.6,102850.04,127467.03,111943.07,143279.31,105614.82,74133.06,68038.69,78518.8,28022.31,51079.06,100037.83,98385.81,118383.87,105956.51,122072.29,121610.67,130716.21,112773.22,99926.75,76507.48,49722.29,66337.41,90626.62,74097.11,67176.99,80661.91,72813.17,66024.39,80511.45,69805.88,67604.9,80698.86,37673.39,91594.11,101269.46,106796.39,141696.42,104458.71,97755.21,107909.33,110306.9,91904.6,91536,80043.06,70370.97,68636.12,113926.05,105695.95,112637.38,111143.5,118953.79,131675.59,92888.34,70782.76,95784.05,73056.34,42232.35,79339.59,77406.83,61528.86,77615.53,84055.5,86475,96397.33,74098.53,87513.87,74152.63,61842.79,95148.42,84159.92,73296.71,82381.71,98948.64,100454.83,122922.93,94847,89764.54,81362.96,91132.96,74437.69,63649.75,62301.97,80848.75
2,"YANTIAN,CHINA","LONG BEACH, CALIFORNIA",7281888.71,22.02,-71.83,19895.07,40666.5,50034.7,46210.13,61261.15,44210.29,37170.82,42458.04,45421.7,59524.01,52301.51,38770.42,42357.82,29074.48,39494.43,46103.17,38309.77,68125.82,55980.99,76356.24,73116.69,67614.22,86369.59,60656.77,99347.92,68132.33,65616.61,87858.44,88093.17,64236.81,56929.98,44785.46,90935.69,70636.61,78586.16,68845.07,55986.08,84023.8,93821.86,88191.97,110111.93,63966.56,72979.89,65641.78,53144.14,39571.79,28702.12,23526.09,43754.85,44086.36,50177.95,49320.26,63375.64,58116.61,50303.82,55196.97,58383.64,64280.7,49015.3,79204.57,91553.75,82332.4,81049.99,86483.83,75299.74,79144.96,74041.37,67973.62,72469.11,47380.15,26345.55,42996.91,48244.42,22758.38,32314.42,71405.16,73938.17,86050.32,69131.18,64026.93,68120.45,60656.73,51680.01,36991.14,40455.35,35802.7,49881.22,51600.72,35747.71,46553.93,47193.62,71043.17,57151.05,42955.08,34162.84,68198.26,64810.96,60639.06,76890.12,72755.9,96249,85694.88,87637.27,76422.11,62903.05,55177.33,71600.28,53133.21,38183.77,57703.6,52005.11,78632.46,59273.53,69756.61,60824.7,64961.62,64191.67,65706.57,43581.48,49029.91,70616.92
3,"YANTIAN,CHINA","NEW YORK/NEWARK AREA, NEWARK, NEW JERSEY",3098802.42,9.37,-28.5,11140.47,21956.48,22041.68,30601.39,30553.92,27885.71,28237.43,26352.14,24112.92,20935.23,8942.19,22818.32,22534.12,19749.26,21621.71,24439.56,29444.3,40149.77,33156.39,40002.53,39964.42,33421.21,25990.6,32640.31,33275.52,34049.21,26055.21,40987.92,31552.35,20093.16,11653.1,25214.78,29471.39,24102.2,26633.03,25661.98,16849.78,26212.04,26797.89,40699.64,36875.54,30904.43,28466.51,22220,22006.98,16795.91,6780.08,29477.41,27207.03,28869.67,30062.57,38899.6,40448.23,35148.3,37792.01,32757.96,34525.67,24219.11,21183.29,33810.27,36884.16,28880.51,30330.28,31126.73,30117.17,34055.7,31412.71,29022.71,23700.16,18256.12,20250.47,26574.69,30139.51,23671.68,24179.06,36406.77,30481.83,33032.73,32560.19,25754.97,30942.99,22405.99,13401.28,32951.57,26891.62,23029.69,25177.42,30981.18,28861,35303.49,24225.26,24473.28,28804.59,19686.73,16229.77,33270.31,27173.14,20964.83,15381.53,21745.14,22225.89,26028.22,16104.38,22002.06,16274.76,16376.95,16995.28,16947.67,16697.09,18261.57,14940.59,24324.64,19018.2,17502.91,16080.38,15135.82,14271.5,12823,10801.08,15217.56,15582.09
4,"YANTIAN,CHINA","SAVANNAH, GEORGIA",2556646.58,7.73,-46.72,6964.96,18336.06,14942,23968.98,20901,22398,25174.79,15817.35,16126.93,18679,14129.52,19748,21392,17945.43,21637,27358.89,24028,39845,33674,26043.4,34273.65,29439.65,19703.41,32676.91,33697,25329,33986.15,38933,29467,16163.49,13893,19890.57,20691.95,21700.78,20002,21970.2,12138.35,24315.35,23812.2,27106.2,25484.75,31562.3,17298.2,19597.55,17013.5,13792.8,9726.95,17967.67,18134.35,20545.25,18671.81,31174.7,27660.65,30788.85,25379.91,18654.95,21053.48,21551.7,20046.17,19125.16,26225.66,20899.39,20869.17,32489.88,21824.77,23155.25,22300.6,20159.94,16930.74,13157.98,18387.15,20216.63,18463.75,16872.08,19527.43,30610.5,26586.73,24584.38,18292.07,18061.72,19072.31,17994.24,11716.25,19947.86,17174.07,16762.98,16162.58,27491.04,24084.98,23269.84,18888.42,15719.5,19558.05,15340.65,12903.13,23575.76,14896.33,14793.87,17750.39,27466.28,25404.82,24775.07,19328.45,20716.84,20209.88,17605.35,25041.41,18035.53,21125.59,16155.49,20267.41,28632.88,22365.41,21988.2,16106.32,13517.02,15525.5,12464.62,10792.24,15800.74,13072.55
5,"YANTIAN,CHINA","TACOMA, WASHINGTON",2498550.28,7.56,-92.89,2350,8416.93,15817.64,22005.03,23307.5,19300.63,24901.17,21506.26,19487.1,13050.89,11556.7,20990.69,10026.47,11621.02,17226.72,10704.84,11630.19,17807.06,14470.58,19625.05,15667.72,12158.34,20465.04,29474.03,40299.37,27885.28,24631.51,27755.76,29145.9,30521.94,11665.69,29032.77,21984.39,23545.99,26971.65,15527.25,22625.49,18225.25,26703.99,27510.58,26694.82,24577.67,26616.97,21631.72,23530.78,14872.94,14720.22,13507.78,21017.13,23370.09,25503.31,23084.5,31514.79,30283.65,28164.76,21911.95,23247.71,17128.98,15917.28,21021.27,23888.18,18089.64,20334.51,22502.09,20119.17,21107.16,17313.25,16128.99,17476.15,13019.36,9660.82,15531.9,13219.28,15884.17,21938.31,24991.44,19091.21,26264.77,17427.34,17673.54,21380.29,19848.51,15264.57,15140.04,19108.17,20407.73,24287.29,24361.32,25667.25,23062.53,24557.09,18034.21,20811.73,19893.85,11799.82,21408.24,23785.74,16788.42,21259.08,22393.01,26385.73,26748.12,21400.66,23987.77,19598.36,18588.17,17869.26,23073.72,15961.59,25753.45,20502.61,22740.03,22596.45,27975.19,21022.88,21838.83,18906.61,20082.02,23714.52,19895.17,33070.26
6,"SHANGHAI,CHINA","LONG BEACH, CALIFORNIA",9287997.04,28.54,-58.67,42315.89,76490.56,78565.64,99208.92,99917.53,91471.45,79383.41,67010.8,76957.78,68055.13,67987.51,45002.78,68442.64,64192.63,69355.5,62490.63,58273.21,80547.61,74250.68,64936.73,48230.84,60612.38,73924.09,70872.2,78883.91,59777.75,70477.53,81829.58,89257.62,72558.03,68612.12,63497.37,70394.03,60914.07,77873.23,69375.75,52445.05,84113.47,78606.6,75974.82,90431.74,90833.86,95226.54,86478.57,69379.32,63104.35,47559.91,34482.97,73152.46,79045.36,86669.2,80026.79,82847.81,81978.03,92125.47,77094.71,81517.42,69816.88,47917.62,55807.25,76079.13,72009.7,67609.41,66810.45,66484.63,55761.07,67077.29,67666.41,79852.2,71745.12,51810.33,73000.06,83130.67,86008.02,101989.8,93237.62,93379.79,106286.3,95398.52,89080.6,86345.13,88764.41,50998.17,64800.12,76963.66,80996.42,81163.87,86898.56,88042.55,96866.1,93668.12,86443.95,81182.34,73940.72,51786.95,72948.5,79101.8,76250.82,68198.87,84830.88,94172.75,98663.98,96837.8,81267.49,92847.25,80561.12,85309.67,83334.71,74816.81,71568.05,96426.6,101911.05,93421.56,88555.45,100900.81,90193.43,93218.84,87983.63,58258,52165.14,102390.17
7,"SHANGHAI,CHINA","LOS ANGELES, CALIFORNIA",7214326.32,22.17,-85.62,9929.69,26839.66,25475.97,20668.87,23120.61,28487.96,38685.3,36753.42,40970.21,31786.78,26792.41,21653.98,28287.46,26732.16,25470.87,32308.63,31443,41313.52,42110.81,40843.11,38352.53,65423.75,66310.05,74575.75,81271.71,62102.9,65407.17,76394.21,83734.75,69725.34,65136.7,86880.89,72884.77,73361.6,61085.08,67591.3,39028.4,97905.19,73722.21,97293.43,74730.14,71746.88,59283.2,51211.43,30729.58,47223.54,22524.15,22859.73,62384.16,62964.15,57907.64,71809.96,77885.69,89991.32,91923,75651.09,83500.5,71425.65,47655.09,67233.12,84469.48,81835.13,63995.62,81444.55,71909.69,75514.84,69070.6,59952.9,60253.83,41620.11,32390.93,40071.5,48039.68,44648.19,55071.78,57438.65,71718.87,71817.42,65903.03,67030.08,63963.4,79412.2,68204.98,47875.62,67784.59,68222.31,75267.73,71124.08,55515.17,55343.14,65046.37,68832.69,74753.97,60995.1,43116.37,69917.62,74149.93,55449.95,71439.26,69846.9,59859.93,85459.81,57625.84,64422.24,77085.66,71093.12,86755.24,83428.84,49735.74,63606.86,52193.38,58300.56,80626.56,65980.85,57854.26,82295.35,72622.15,68304.99,52827.46,46248.29,69038.78
8,"SHANGHAI,CHINA","SAVANNAH, GEORGIA",2479469.5,7.62,-34.57,9881,18796.18,17528.7,17265,17554.66,15570.51,19876.91,16811.63,15222,17046.6,10842.62,15839.77,20260.25,24348.19,18806.44,18708.13,16353.18,24452.53,25779,19505,18491,28490.07,19332,20964.01,31630.43,24794.35,22042,28914.86,27270.79,25110.48,27258.25,23113.48,19586.51,26909.67,24734.82,20540.58,10620.01,29568.05,26228.15,29140.78,22651.37,28087.88,26768.7,21344.05,19496.89,17505.11,7104.85,19006.83,23889.68,24670.93,20100.87,24438.29,26482.67,30503.59,31070.48,25212.69,26485.93,23482.18,18793.25,23073.87,27524.4,23383.07,16122.08,23958.14,17035.74,18266.27,18605.34,17528.57,16330.14,15689.89,12415.52,17339.87,19045.64,15558.05,16427.18,18556.15,19922.58,19572.63,20107.1,22954,23620.11,21151.89,17558.12,21056.57,25372.91,20463.86,17834.83,23760.99,22552.79,23088.71,23774.67,20199.86,21349.34,17800.67,17436.82,20606.35,20458.87,17490.88,17953.6,21539.12,20109.22,21955.77,22695.44,24324.39,24532.96,19579.94,25944.38,18564.94,19299.55,17779.17,15395.89,18799.36,18581.19,15578.66,17962.71,14276.06,16461.57,12905.91,11575.15,11274.39,15100.83
9,"SHANGHAI,CHINA","TACOMA, WASHINGTON",2427142.69,7.46,-90.69,3785.43,12126.98,14434.2,11644.07,10603.24,7913.05,17781.51,9029.24,10378.37,8003.51,9850.92,6781.56,13015.52,6598.78,9771.16,8622.28,9800.08,11365.19,5718.75,5659.06,4066.88,14299.55,13796.11,19326.92,22588.1,18989.02,10418.64,18668.15,13791.36,17559.45,26368.84,12603.46,17401.64,14664.83,18012.91,10299.99,10624.48,13514.86,11241.76,16727.51,13599.45,12831.43,15658.67,10500.51,9608.91,12386.74,10338.49,10734.25,14893.94,16768.64,21562.71,19550.87,18029.82,20073.18,20074.09,16853.39,19304.58,21449.79,14633.48,19856.18,20989.52,18813.67,18035.08,15038.79,18354.91,15164.84,17355.67,18693.74,15684.55,13278.16,12959.25,17347.94,18130.89,19175.21,21717.67,23531.75,20714.86,22497.76,23702.39,21906.04,21080.67,28398.84,31738.62,20285.75,35284.87,29917.15,31767.36,36216.68,32149.31,32064.38,37066.49,28180.84,35291.02,26054.59,22779.73,25916.69,33155.44,22197.15,30527.72,30149.45,36097.35,40429.22,28003.61,35600.19,30736.1,30337.9,23539.53,26308.16,30899.75,19941.32,28588.27,30203.78,32414.32,32421.7,28766.41,32861.35,32469.08,29188.17,31613.09,26202.96,40648.49
10,"SHANGHAI,CHINA","NEW YORK/NEWARK AREA, NEWARK, NEW JERSEY",2413485.53,7.42,-21.42,9019.97,15911.25,14488.87,21364.34,18367.42,17387.17,21540.65,16592.2,18838.69,17547.08,9831.73,16926.22,16832.62,18845.86,18529.07,20853.82,20586.95,21697.48,17148.34,17698.13,17626.46,20647.73,26893.44,27300.9,23964.5,22333.89,22488.55,21660.69,26491.28,26387.1,25572.9,21770.94,23502.25,19691.86,25463.45,18352.94,12380.33,22984.62,25846.36,24472.78,23519.45,28394.01,22199.01,20511.56,17067.51,14376.71,6857.81,18707.83,21220.16,22846.43,21296.58,24636.08,23772.86,26942.26,30345.86,26463.77,28194.46,21125.47,13767.01,25388.65,30531.04,23281.48,18879.19,25091.92,18275.62,19536.64,21206.56,20355.31,18423.94,12533.46,15991.21,17871.23,21009.22,19416.87,17351.29,20647.3,20890.83,24232.92,25074.24,24379.62,25590.82,27067.29,17925.01,29760.85,24552.82,28325.39,24739.63,29215.56,26859.01,31323.99,31436.24,24662.65,23277.79,18967.6,19113.76,24110.9,23462.62,16993.18,12812.57,14684.68,17223.26,14164.07,17639.22,19137.02,15514.45,11740.13,14771,11806.09,12167.13,11971.92,10899.64,15157.73,12335.73,13840.26,13496.62,14281.67,13100.95,11092.59,8620.2,9710.85,11478.44
